message,action
What time is it?,TIME
Can you give me the time?,TIME
Can you tell me the time?,TIME
Time?,TIME
What's the time?,TIME
I need the time,TIME
Time please,TIME
What's on the clock?,TIME
What does the clock say?,TIME
Do you have time?,TIME
Have you got the time?,TIME
"Excuse me, could you tell me what time it is, please?",TIME
I need the time right now,TIME
can you order me a pizza?,PIZZA
I would love a large cheese pizza please.,PIZZA
Order a pizza ASAP,PIZZA
Order me a pizza pie,PIZZA
"Get me a cheese pizza, extra sauce",PIZZA
Pizza time,PIZZA
Pizza for everyone,PIZZA
Pizza now!,PIZZA
I'd like to order a pizza please.,PIZZA
Place a pizza order in 20 minutes,PIZZA
Place an order from Dominos,PIZZA
Phone Pizza Hut and order two pizzas. One is for you!,PIZZA
Hi there,GREET
Hello,GREET
Howdy,GREET
Hi,GREET
Yo,GREET
Greetings,GREET
What's up?,GREET
Heyyy,GREET
Hola,GREET
What's new?,GREET
What are you up to?,GREET
How have you been?,GREET
How are you doing?,GREET
What's new? Have you tried the new pizza restaurant that just opened?,GREET
How's the weather?,WEATHER
What's the current weather?,WEATHER
Are we getting any rain?,WEATHER
Is the weather bad now?,WEATHER
Is the weather lovely outside?,WEATHER
Is is raining?,WEATHER
Tell me the current weather please.,WEATHER
Can you tell me what the weather is like?,WEATHER
What is the weather like?,WEATHER
Is it snowing?,WEATHER
Is today hot or cold?,WEATHER
What's it like outside?,WEATHER
Tell me a joke.,JOKE
Can you give me a joke?,JOKE
What is a good joke?,JOKE
I want to hear a joke.,JOKE
I want a bad joke.,JOKE
Give me a pizza joke.,JOKE
Joke please!,JOKE
Do you know any dad jokes?,JOKE
What is your favorite joke?,JOKE
"Ok Jarvis, tell me a joke. ",JOKE
Tell me a really really bad joke.,JOKE
Do you have a funny joke?,JOKE
Yo,JOKE
Get a pizza with pepperoni and sausage,WEATHER
Whatâ€™s the weather like today?,JOKE
letâ€™s hear a joke,PIZZA
Hi,GREET
Whatâ€™s the temperature?,JOKE
Good morning,WEATHER
Letâ€™s order some pizza,WEATHER
"""Jarvis, get ten pizzas",PIZZA
Iâ€™m hungry for pizza,PIZZA
Howâ€™s it going,TIME
Get a pizza here by 8.,GREET
Whatâ€™s going on?,WEATHER
order 20 pizzas for scraps,PIZZA
what up,TIME
Whatâ€™s up,GREET
Hello,TIME
Hey.,TIME
When is it?,PIZZA
letâ€™s hear a good one.,WEATHER
tell us a zinger,GREET
Get some pizza here,WEATHER
Any idea what time it is?,JOKE
Is it cloudy?,PIZZA
Order some pizza,JOKE
Tell me a joke.,PIZZA
Could you order some pizza?,JOKE
Could you tell me the time?,PIZZA
Howâ€™s your day going?,GREET
What time is it?,GREET
Do you know any good jokes?,GREET
Can you tell me the time,TIME
What time do you have?,TIME
Will it snow tonight?,GREET
Do you have the time?,PIZZA
Tell me something funny,GREET
Please order a pizza.,PIZZA
Can you get a pizza delivered,GREET
Is it hot outside today?,TIME
Do I need an umbrella?,WEATHER
Tell us a knock-knock joke.,JOKE
weather check,WEATHER
is it raining?,WEATHER
hey,GREET
current weather please jarvis,WEATHER
throw me a joke,JOKE
Tell me a joke about a good time you had,JOKE
Jarvis what is the time?,TIME
eyy what's up chief,GREET
is it cold outside Jarvis,WEATHER
